time	V(salida)	V(vin1)
1.705126964270157e-003	-1.440205e-002	-1.440373e-002
1.738051071413014e-003	-1.493145e-002	-1.493342e-002
1.770975178555872e-003	-1.485101e-002	-1.485293e-002
1.803899285698729e-003	-1.416073e-002	-1.416226e-002
1.836823392841586e-003	-1.286061e-002	-1.286142e-002
1.869747499984443e-003	-1.095065e-002	-1.095039e-002
1.883140357127300e-003	-1.003206e-002	-1.003129e-002
1.896533214270157e-003	-9.060802e-003	-9.059490e-003
1.909926071413014e-003	-8.036878e-003	-8.034995e-003
1.923318928555871e-003	-6.960288e-003	-6.957806e-003
1.936711785698728e-003	-5.831032e-003	-5.827922e-003
1.950104642841585e-003	-4.649111e-003	-4.645343e-003
1.963497499984442e-003	-3.414524e-003	-3.410069e-003
1.965450624984442e-003	-3.235121e-003	-3.230566e-003
1.998653749984438e-003	-1.331545e-004	-1.268758e-004
2.000000000000000e-003	-6.349239e-006	-7.347881e-018
