time	V(salida)	V(vin1)
9.950265178415851e-004	-1.045485e-002	-4.702519e-004
1.000606874984442e-003	-6.314695e-004	5.719433e-005
1.006187232127300e-003	9.192776e-003	5.845689e-004
1.011767589270157e-003	1.897530e-002	1.109620e-003
1.017347946413014e-003	2.871610e-002	1.632347e-003
1.022928303555871e-003	3.841517e-002	2.152751e-003
1.028508660698728e-003	4.807252e-002	2.670831e-003
1.034089017841585e-003	5.768815e-002	3.186587e-003
1.039669374984442e-003	6.726205e-002	3.700019e-003
1.050830089270157e-003	8.630229e-002	4.720941e-003
1.061990803555871e-003	1.046957e-001	5.707046e-003
1.073151517841585e-003	1.224422e-001	6.658334e-003
1.084312232127300e-003	1.395418e-001	7.574804e-003
1.095472946413014e-003	1.559946e-001	8.456456e-003
1.106633660698728e-003	1.718005e-001	9.303292e-003
1.117794374984442e-003	1.869595e-001	1.011531e-002
1.136767589270157e-003	2.107344e-001	1.138899e-002
1.155740803555871e-003	2.309538e-001	1.247069e-002
1.174714017841585e-003	2.476178e-001	1.336039e-002
1.193687232127300e-003	2.607265e-001	1.405811e-002
1.212660446413014e-003	2.702797e-001	1.456384e-002
1.231633660698728e-003	2.762776e-001	1.487758e-002
1.250606874984443e-003	2.787201e-001	1.499933e-002
1.269580089270157e-003	2.764224e-001	1.486352e-002
1.288553303555871e-003	2.705649e-001	1.453638e-002
1.307526517841585e-003	2.611474e-001	1.401790e-002
1.326499732127300e-003	2.481699e-001	1.330807e-002
1.345472946413014e-003	2.316326e-001	1.240691e-002
1.364446160698729e-003	2.115352e-001	1.131440e-002
1.383419374984443e-003	1.878780e-001	1.003055e-002
1.394580089270157e-003	1.727825e-001	9.213312e-003
1.405740803555871e-003	1.570357e-001	8.361747e-003
1.416901517841586e-003	1.406375e-001	7.475858e-003
1.428062232127300e-003	1.235880e-001	6.555644e-003
1.439222946413014e-003	1.058872e-001	5.601106e-003
1.450383660698729e-003	8.753497e-002	4.612245e-003
1.461544374984443e-003	6.853144e-002	3.589059e-003
1.467124732127300e-003	5.897349e-002	3.074718e-003
1.472705089270157e-003	4.937228e-002	2.558194e-003
1.478285446413014e-003	3.972782e-002	2.039485e-003
1.483865803555871e-003	3.004012e-002	1.518591e-003
1.489446160698729e-003	2.030916e-002	9.955138e-004
1.495026517841586e-003	1.053495e-002	4.702519e-004
1.500606874984443e-003	7.174886e-004	-5.719433e-005
1.506187232127300e-003	-9.100776e-003	-5.845689e-004
1.511767589270157e-003	-1.887736e-002	-1.109620e-003
1.517347946413014e-003	-2.861227e-002	-1.632347e-003
1.522928303555871e-003	-3.830550e-002	-2.152751e-003
1.528508660698729e-003	-4.795705e-002	-2.670831e-003
1.534089017841586e-003	-5.756693e-002	-3.186587e-003
1.539669374984443e-003	-6.713513e-002	-3.700019e-003
1.550830089270157e-003	-8.616415e-002	-4.720941e-003
1.561990803555871e-003	-1.045475e-001	-5.707046e-003
1.573151517841586e-003	-1.222853e-001	-6.658334e-003
1.584312232127300e-003	-1.393774e-001	-7.574804e-003
1.595472946413014e-003	-1.558238e-001	-8.456456e-003
1.606633660698729e-003	-1.716246e-001	-9.303292e-003
1.617794374984443e-003	-1.867798e-001	-1.011531e-002
1.636767589270157e-003	-2.105536e-001	-1.138899e-002
1.655740803555872e-003	-2.307758e-001	-1.247069e-002
1.674714017841586e-003	-2.474463e-001	-1.336039e-002
1.693687232127300e-003	-2.605651e-001	-1.405811e-002
1.712660446413014e-003	-2.701322e-001	-1.456384e-002
1.731633660698729e-003	-2.761476e-001	-1.487758e-002
1.750606874984443e-003	-2.786114e-001	-1.499933e-002
1.769580089270157e-003	-2.763361e-001	-1.486352e-002
1.788553303555872e-003	-2.704981e-001	-1.453638e-002
1.807526517841586e-003	-2.610972e-001	-1.401790e-002
1.826499732127300e-003	-2.481334e-001	-1.330807e-002
