time	V(salida)	V(vin1)
9.810756249844423e-004	-5.567687e-002	-1.780051e-003
9.869349999844423e-004	-3.936844e-002	-1.231771e-003
9.927943749844423e-004	-2.296851e-002	-6.807121e-004
9.986537499844423e-004	-6.477075e-003	-1.268748e-004
1.002559999984442e-003	4.502305e-003	2.418077e-004
1.006466249984442e-003	1.546122e-002	6.097917e-004
1.010372499984442e-003	2.639967e-002	9.770771e-004
1.014278749984442e-003	3.731766e-002	1.343664e-003
1.018184999984442e-003	4.821519e-002	1.709552e-003
1.022091249984442e-003	5.909225e-002	2.074742e-003
1.025997499984442e-003	6.994885e-002	2.439233e-003
1.035763124984442e-003	9.708482e-002	3.350286e-003
1.045528749984442e-003	1.235819e-001	4.240584e-003
1.055294374984442e-003	1.494401e-001	5.110126e-003
1.065059999984442e-003	1.746593e-001	5.958912e-003
1.074825624984442e-003	1.992397e-001	6.786942e-003
1.084591249984442e-003	2.231812e-001	7.594216e-003
1.094356874984442e-003	2.464838e-001	8.380734e-003
1.110818928555871e-003	2.838158e-001	9.645643e-003
1.127280982127300e-003	3.173133e-001	1.078119e-002
1.143743035698728e-003	3.469765e-001	1.178738e-002
1.160205089270157e-003	3.728052e-001	1.266422e-002
1.176667142841585e-003	3.947995e-001	1.341169e-002
1.193129196413014e-003	4.129595e-001	1.402981e-002
1.209591249984443e-003	4.272850e-001	1.451857e-002
1.230238571413014e-003	4.378904e-001	1.487257e-002
1.250885892841585e-003	4.414473e-001	1.498398e-002
1.271533214270157e-003	4.379557e-001	1.485282e-002
1.292180535698728e-003	4.274156e-001	1.447908e-002
1.312827857127300e-003	4.098270e-001	1.386276e-002
1.333475178555871e-003	3.851899e-001	1.300386e-002
1.354122499984443e-003	3.535042e-001	1.190239e-002
1.366957321413014e-003	3.306268e-001	1.111308e-002
1.379792142841586e-003	3.059825e-001	1.026640e-002
1.392626964270157e-003	2.795713e-001	9.362354e-003
1.405461785698729e-003	2.513933e-001	8.400932e-003
1.418296607127300e-003	2.214485e-001	7.382139e-003
1.431131428555871e-003	1.897367e-001	6.305973e-003
1.443966249984443e-003	1.562581e-001	5.172435e-003
1.450941696413014e-003	1.377579e-001	4.547517e-003
1.457917142841586e-003	1.190738e-001	3.916925e-003
1.464892589270157e-003	1.002058e-001	3.280659e-003
1.471868035698729e-003	8.115386e-002	2.638719e-003
1.478843482127300e-003	6.191800e-002	1.991106e-003
1.485818928555871e-003	4.249823e-002	1.337818e-003
1.492794374984443e-003	2.289455e-002	6.788566e-004
